Longitude,Latitude,pH,EC,OC,N,P,K,S,Z,Fe,Cu,M,B
73.34499,19.1022,7.1,0.239,1.16,810.54,14.37,70.77,5.95,4.21,64.87,6.27,57.12,0.18
73.34499,19.1022,6.94,0.079,0.71,495.48,12.68,98.24,19.42,1.37,103.8,4.02,48.87,0.22
73.33028,19.1086,6.95,0.089,0.92,642.52,12.25,143.66,7.72,1.37,37.65,3.22,59.9,0.08
73.33028,19.1086,6.95,0.089,0.92,642.52,12.25,143.66,7.72,1.37,37.65,3.22,59.9,0.08
73.34424,19.111,7,0.129,1.57,1096.01,10.88,244.01,24.53,2.8,96.41,3.68,56.91,0.08
73.355,19.1695,6.52,0.165,0.68,476.94,24.61,62.32,17.69,0.59,15.75,1.45,34.34,0.14
73.355,19.1695,6.52,0.165,0.68,476.94,24.61,62.32,17.69,0.59,15.75,1.45,34.34,0.14
73.34167,19.3483,6.31,0.229,0.133,932.87,24.08,269.36,16.26,0.99,55.52,4.27,16.04,0.14
73.34897,19.103,7.14,0.095,1.68,1172.6,29.47,163.73,13.33,1.24,17.41,4.63,12.8,5
73.34897,19.103,7.14,0.095,1.68,1172.6,29.47,163.73,13.33,1.24,17.41,4.63,12.8,5
73.34897,19.103,7.14,0.095,1.68,1172.6,29.47,163.73,13.33,1.24,17.41,4.63,12.8,5
73.34897,19.103,7.14,0.095,1.68,1172.6,29.47,163.73,13.33,1.24,17.41,4.63,12.8,5
73.34897,19.103,7.14,0.095,1.68,1172.6,29.47,163.73,13.33,1.24,17.41,4.63,12.8,5
73.34222,19.1039,6.6,0.104,0.83,578.28,37.5,132.04,13.63,1.39,26.13,2.63,51.81,0.13
73.34167,19.3483,6.53,0.092,0.72,504.13,29.47,139.44,12.46,1.07,14.86,2.46,41.46,0.21
73.34222,19.1033,7.74,0.348,0.97,679.57,13.1,124.65,5.641,1.6,38.36,5.31,67.46,16
73.34222,19.1033,7.37,0.145,1.39,971.17,9.82,192.25,4.43,1.64,103.42,4.48,60.76,0.14
73.34222,19.1033,7.37,0.145,1.39,971.17,9.82,192.25,4.43,1.64,103.42,4.48,60.76,0.14
73.33407,19.1042,7.22,0.053,0.72,504.13,16.27,50.7,8.04,1.81,18.13,1.31,42.76,0.09
73.33407,19.1042,7.1,0.085,1.39,971.17,22.29,126.76,26.77,2.74,18.93,2.55,56.15,0.21
73.33407,19.1042,7.1,0.085,1.39,971.17,22.29,126.76,26.77,2.74,18.93,2.55,56.15,0.21
73.33028,19.1086,7.25,0.532,0.56,211,102,489,1.25,0.89,0.65,0.22,0.23,0.88
73.34499,19.1022,7.01,0.101,1.65,1153.48,12.68,155.28,21.96,1.73,75.59,2.95,60.32,0.09
73.34499,19.1022,7.01,0.101,1.65,1153.48,12.68,155.28,21.96,1.73,75.59,2.95,60.32,0.09
73.34424,19.111,6.72,0.063,0.67,467.06,32.96,66.55,30.11,2.34,77.12,4.11,62.32,0.12
73.34424,19.111,6.72,0.063,0.67,467.06,32.96,66.55,30.11,2.34,77.12,4.11,62.32,0.12
73.34424,19.111,7.31,0.141,0.88,615.33,43.42,96.13,8.04,1.853,27.62,1.66,35.69,0.19
73.34424,19.111,7.31,0.141,0.88,615.33,43.42,96.13,8.04,1.853,27.62,1.66,35.69,0.19
73.34424,19.111,7.31,0.141,0.88,615.33,43.42,96.13,8.04,1.853,27.62,1.66,35.69,0.19
73.35108,19.3499,6.83,0.158,1.66,1163.37,23.56,165.84,12.75,1.64,49.52,2.99,48.66,0.08
73.35108,19.3499,6.83,0.158,1.66,1163.37,23.56,165.84,12.75,1.64,49.52,2.99,48.66,0.08
73.35108,19.3499,6.83,0.158,1.66,1163.37,23.56,165.84,12.75,1.64,49.52,2.99,48.66,0.08
73.35108,19.3499,6.83,0.158,1.66,1163.37,23.56,165.84,12.75,1.64,49.52,2.99,48.66,0.08
73.35108,19.3499,6.83,0.158,1.66,1163.37,23.56,165.84,12.75,1.64,49.52,2.99,48.66,0.08
73.35108,19.3499,6.83,0.158,1.66,1163.37,23.56,165.84,12.75,1.64,49.52,2.99,48.66,0.08
73.34481,19.1028,7.12,0.135,1.5,1046.57,29.68,141.55,6.84,0.57,133.51,4.8,46.57,0.17
73.34481,19.1028,7.12,0.135,1.5,1046.57,29.68,141.55,6.84,0.57,133.51,4.8,46.57,0.17
73.34481,19.1028,7.12,0.135,1.5,1046.57,29.68,141.55,6.84,0.57,133.51,4.8,46.57,0.17
73.34167,19.3483,7.35,0.131,1.57,1096.01,29.15,54.93,11.29,0.93,56.05,1.663,44.72,0.15
73.34167,19.3483,7.35,0.131,1.57,1096.01,29.15,54.93,11.29,0.93,56.05,1.663,44.72,0.15
73.34167,19.3483,7.35,0.131,1.57,1096.01,29.15,54.93,11.29,0.93,56.05,1.663,44.72,0.15
73.34167,19.3483,6.4,0.163,1.32,922.98,27.99,108.8,13.63,0.32,37.71,2.97,51.81,0.1
73.355,19.3169,6.25,0.113,0.88,615.33,20.81,98.24,0.4,1.24,63.35,5.39,34.09,0.1
73.355,19.3169,6.25,0.113,0.88,615.33,20.81,98.24,0.4,1.24,63.35,5.39,34.09,0.1
73.355,19.3169,6.87,0.234,1.23,857.53,28.73,115.14,24.53,1.35,40.47,3.56,54.57,0.2
73.355,19.3169,6.87,0.234,1.23,857.53,28.73,115.14,24.53,1.35,40.47,3.56,54.57,0.2
